scholar_index,name_letters,name_arabic,grade,birth_greg,death_greg,places_of_stay,students_index,teachers_index
11674,Yazid bin Abi Maryam,يزيد بن أبي مريم,Follower(Tabi') [6th generation],0,758,Damascus,"20024, 20638, 20398, 20733, 20402, 20732","11179, 11302, 11028, 17540, 10812, 18720"
11675,Aadm bin 'Ali al-Jly آ,دم بن علي العجلي,Follower(Tabi') [3rd Generation],0,0,,"20020, 20327, 25029",18
11676,Thabit bin Ajlan al-Ansari,ثابت بن عجلان الأنصاري,Follower(Tabi') [5th generation],0,0,"al-Hims, Arminia","20736, 20446, 10957, 20456, 20463","19, 4048, 11002, 11050, 11029, 11028, 11053, 11016, 11035, 11013"
11677,Thabit bin Ayad al-Ahnf,ثابت بن عياض الأحنف الأعرج,Follower(Tabi') [3rd Generation],0,0,,"11245, 11247, 11081, 20169, 20001","18, 29, 106, 19, 13"
11678,Jryr bin Zayd,جرير بن زيد,Follower(Tabi') [6th generation],0,0,,,"10603, 11011, 10554, 16006"
11679,al-J'ad bin 'Abdur Rahman ا,لجعد/الجعيد بن عبد الرحمن بن أوس,Follower(Tabi') [5th generation],0,762,,"20160, 20167, 20159, 20031, 20202",3048
11680,Jwyryh bin Qdamh,جويرية بن قدامة,Follower(Tabi') [1st Generation],0,0,,11309,3
11681,al-Harith bin Shabayl ا,لحارث بن شبيل,Follower(Tabi') [5th generation],0,0,KUfa,"11418, 20016, 11060","11352, 169, 3680"
11682,Hban bin Atyh al-Slmy,حبان بن عطية السلمي,Follower(Tabi') [2nd Generation],0,0,,,
11683,Hrmlh Mwla Usamah bin Zayd,حرملة مولى أسامة بن زيد,Follower(Tabi') [3rd Generation],0,0,,,
11684,Huraiz bin 'Uthman bin Jabir,حريز بن عثمان بن جبر الرحبي,Follower(Tabi') [5th generation],622,781,"al-Hims,  Baghdad","20415, 20733, 20736, 20644, 20347, 20365, 20031, 20472, 20404, 20442, 20447, 20448, 30330, 20386, 25665, 25695","3650, 10899, 4111, 11422, 27002, 28090, 17505, 22432, 19909, 10915, 17028, 17033, 17035, 17036, 18452, 23494, 18595, 10942, 18639, 18561, 18651, 11672, 10948, 19934, 19896, 17090, 19370"
11685,Hatan bin Khafaf Abu al-Jwariyya,حطان بن خفاف بن زهير أبو الجويرية الجرمي,Follower(Tabi') [3rd Generation],0,0,,"20311, 20012, 20005, 20020, 10778, 20587, 20469","17, 3691, 19919"
11686,Hafs bin 'Ubaidullah,حفص بن عبيد الله بن أنس,Follower(Tabi') [3rd Generation],0,0,,"11062, 11449, 11107, 10619, 11374, 20500","34, 18, 13"
11687,Hkym bin Abi Hrh al-Aslmy,حكيم بن أبي حرة الأسلمي,Follower(Tabi') [3rd Generation],0,0,al-Ray,"22185, 11106, 11201","18, 5078, 11171"
11688,Rafa'i al-Madni Bwab Mrwan bin al-Hakam,رافع المدني بواب,Follower(Tabi') [3rd Generation],0,0,,,
11689,al-Zubair bin Abi Usayd ا,لزبير بن أبي أسيد,Follower(Tabi') [3rd Generation],0,0,,,"113, 1462"
11690,"Ziyad bin Hassan bin Qarra, al-'Aalm",زياد بن حسان بن قرة - زياد الأعلم,Follower(Tabi') [5th generation],0,0,,"11071, 20021, 20022, 11073, 20297","19, 11016, 11035"
11691,Salm bin Ajlan al-Aftas,سالم بن عجلان الأفطس الأموي,Follower(Tabi') [6th generation],0,750,"Jazira, Hiran",28429,
11692,Sulaiman bin Habib al-Maharbi,سليمان بن حبيب المحاربي,Follower(Tabi') [3rd Generation],0,745,Damascus,"11013, 11010, 20166, 20024, 27530, 28322, 12321","4048, 13, 27, 19, 17204, 631"
11693,Safwan bin Mhrz bin Ziyad,صفوان بن محرز بن زياد المازني,Follower(Tabi') [4th generation],0,694,,"11328, 11080, 11019, 10715, 10664","18, 16, 123, 41, 17, 423, 4053"
11694,al-Dhak bin Shrahyl ا,لضحاك بن شراحيل ويقال,Follower(Tabi') [4th generation],0,0,Hamadan,"11331, 11350, 11060, 11013, 11369","38, 5030"
11695,Talha bin 'Abdul Malik,طلحة بن عبد الملك الأيلي,Follower(Tabi') [6th generation],0,0,,"28488, 20024, 20001, 20031","10535, 18282"
11696,'Amir bin Mus'ab,عامر بن مصعب,Follower(Tabi') [3rd Generation],0,0,,11070,"53, 11256, 11053"
11697,'Abbas bin Sahl bin Sa'd,عباس بن سهل بن سعد الساعدي,Follower(Tabi') [4th generation],622,622,Medina,"20152, 22139, 11210, 11517, 11894, 11107, 10606, 19961, 20169, 20177","399, 113, 1457, 13, 11, 106, 34, 1716"
11698,'Abdullah bin 'Ubaida bin Nashayt,عبد الله بن عبيدة بن نشيط,Follower(Tabi') [4th generation],0,749,,"11176, 10603","34, 399, 189, 11004, 11045, 11010"
11699,'Abdullah bin 'Urwa,عبد الله بن عروة بن الزبير,Follower(Tabi') [3rd Generation],622,622,Medina,"11529, 11065, 11013, 11070","10511, 106, 70, 18, 30, 13, 423, 4045"
11700,'Abdullah bin Fyrwz,عبد الله بن فيروز الداناج,Follower(Tabi') [5th generation],0,0,,"11019, 11073, 20021, 20297, 20252, 20208","19, 227, 11226, 10567, 11005, 11023"
